Test,Temporal_Model_Weight,Scanpath_Model_Weight,AUC,Positive_Class_Ratio,Negative_Class_Ratio
"['am_p', 'ajcont', 'amcont']",0.0,1.0,0.8342151675485009,0.4166666666666667,0.5833333333333334
"['bp_day1', 'ascont', 'awcont']",0.0,1.0,0.49308641975308637,0.3333333333333333,0.6666666666666666
"['cp_day1', 'cmcont', 'cvpcont']",0.39239239239239243,0.6076076076076076,0.9808785529715762,0.3233082706766917,0.6766917293233082
"['ds', 'dscont', 'fscont']",0.40740740740740744,0.5925925925925926,0.9991869918699187,0.3543307086614173,0.6456692913385826
"['rc_p', 'fvpcont', 'jap_cont']",0.9059059059059059,0.0940940940940941,0.9723646723646723,0.36585365853658536,0.6341463414634146
"['rgsep18', 'jgcont', 'jscont']",0.31431431431431434,0.6856856856856857,0.9568039950062421,0.3358208955223881,0.664179104477612
"['tswday1', 'mdcont', 'ngcont']",0.0,1.0,0.8116959064327486,0.371900826446281,0.628099173553719
"['agday1', 'secont', 'shcont']",1.0,0.0,0.317550505050505,0.3383458646616541,0.6616541353383458
