test_acc,test_acc,test_auc,test_auc,positive_class_ratio,negative_class_ratio
mean,std,mean,std,mean,mean
0.5735294222831726,0.0953050091886819,0.5733333333333335,0.13456088250367404,0.5588235294117646,0.4411764705882354
0.5463157892227173,0.053547586978502426,0.5533868092691623,0.07751073401633041,0.4631578947368421,0.536842105263158
0.6530120491981506,0.06319402076944675,0.7074030552291423,0.07900422786566096,0.4457831325301206,0.5542168674698794
0.5567567497491837,0.07173343660944287,0.5749264705882353,0.08119550933552477,0.45945945945945954,0.5405405405405405
0.6847826153039932,0.10260726248352403,0.7352777777777778,0.08408151786267026,0.2173913043478261,0.782608695652174
0.40625,0.05577215342154225,0.43894736842105264,0.06858729242400531,0.20833333333333331,0.7916666666666667
0.3964285671710968,0.1230862542293476,0.29336734693877553,0.21695841590505988,0.5,0.5
0.5305555582046508,0.10833728702086375,0.5609053497942387,0.09757802451795411,0.25,0.75
0.6166666656732559,0.10540926266897511,0.4636363636363637,0.20305291597273883,0.9166666666666666,0.08333333333333334
0.4555555731058121,0.1109875919709058,0.6158653846153845,0.13816389096266601,0.2888888888888888,0.7111111111111111
