test_acc,test_acc,test_auc,test_auc,positive_class_ratio,negative_class_ratio
mean,std,mean,std,mean,mean
0.41764706671237944,0.10631718887205541,0.37192982456140344,0.17173478215651602,0.5588235294117646,0.4411764705882354
0.4778947353363037,0.06280604044210314,0.4918449197860963,0.107230452281906,0.4631578947368421,0.536842105263158
0.5879518121480942,0.0538212626900258,0.6171562867215041,0.03830639118517014,0.4457831325301206,0.5542168674698794
0.512162160873413,0.07813724194964944,0.49845588235294125,0.12054710461470274,0.45945945945945954,0.5405405405405405
0.4304347813129425,0.09925155834861123,0.5044444444444445,0.14110697962261376,0.2173913043478261,0.782608695652174
0.4333333283662796,0.1462625936994631,0.5497368421052632,0.12233273075700545,0.20833333333333331,0.7916666666666667
0.5071428537368774,0.11639910439157887,0.5556122448979592,0.14431652530191635,0.5,0.5
0.5166666746139527,0.1257351481100608,0.5226337448559671,0.10202663364492208,0.25,0.75
0.5416666746139527,0.18530089772185623,0.2727272727272727,0.28747978728803447,0.9166666666666666,0.08333333333333334
0.38222223073244094,0.11026841131568946,0.5052884615384615,0.16307142991877144,0.2888888888888888,0.7111111111111111
